dataset,method,test_env,seed,train_acc,test_acc,best_test_acc,p_train,p_test
colored_mnist,chip,all,2,0.8811855899499678,0.10670490506329114,0.13983386075949367,0.9,0.1
colored_mnist,chip_adv_only,all,2,0.8012615494382407,0.33633306962025317,0.35977056962025317,0.9,0.1
colored_mnist,chip_no_adv,all,2,0.9003142767877721,0.10235363924050633,0.10729825949367089,0.9,0.1
colored_mnist,chip_no_rec,all,2,0.8811855899499678,0.10670490506329114,0.13983386075949367,0.9,0.1
colored_mnist,chip,all,3,0.49971681769722814,0.5053401898734177,0.5055379746835443,0.9,0.1
colored_mnist,chip_adv_only,all,3,0.5146699538235979,0.5495450949367089,0.5495450949367089,0.9,0.1
colored_mnist,chip_no_adv,all,3,0.8993536780383795,0.09661787974683544,0.11293512658227849,0.9,0.1
colored_mnist,chip_no_rec,all,3,0.49971681769722814,0.5053401898734177,0.5055379746835443,0.9,0.1
colored_mnist,chip,all,4,0.5062022477324838,0.5046479430379747,0.5049446202531646,0.9,0.1
colored_mnist,chip_adv_only,all,4,0.8146710643636138,0.24040743670886075,0.5046479430379747,0.9,0.1
colored_mnist,chip_no_adv,all,4,0.9016857675906184,0.11234177215189874,0.11234177215189874,0.9,0.1
colored_mnist,chip_no_rec,all,4,0.5062022477324838,0.5046479430379747,0.5049446202531646,0.9,0.1
colored_mnist,erm,all,0,0.9008639836107998,0.10057357594936708,0.10532041139240507,0.9,0.1
colored_mnist,erm,all,1,0.8990871535181236,0.10304588607594936,0.10413370253164557,0.9,0.1
colored_mnist,chip_no_adv,all,1,0.8992037579957356,0.1038370253164557,0.12767009493670886,0.9,0.1
colored_mnist,chip_no_rec,all,1,0.8989538912579957,0.10245253164556962,0.31180775316455694,0.9,0.1
colored_mnist,chip,all,1,0.8989538912579957,0.10245253164556962,0.31180775316455694,0.9,0.1
colored_mnist,chip_adv_only,all,1,0.8269367448048297,0.10413370253164557,0.5087025316455697,0.9,0.1
colored_mnist,chip_no_adv,all,0,0.9010083511439976,0.10176028481012658,0.10205696202531646,0.9,0.1
colored_mnist,chip_no_rec,all,0,0.5059079602201865,0.505439082278481,0.505439082278481,0.9,0.1
colored_mnist,chip,all,0,0.5059079602201865,0.505439082278481,0.505439082278481,0.9,0.1
colored_mnist,chip_adv_only,all,0,0.7997123756642535,0.14349287974683544,0.2432753164556962,0.9,0.1
colored_mnist,erm,all,3,0.8993925462399465,0.09760680379746836,0.09800237341772151,0.9,0.1
colored_mnist,erm,all,4,0.9018634505617593,0.10106803797468354,0.1015625,0.9,0.1
colored_mnist,erm,all,2,0.9007085110587097,0.12232990506329114,0.12232990506329114,0.9,0.1
